Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-06-05,X-Men,2000,https://boxd.it/9Ul99z,5,,,2022-05-03
2025-06-05,X-Men Origins: Wolverine,2009,https://boxd.it/9Ul9ER,,,,2022-05-04
2025-06-05,X-Men: Days of Future Past,2014,https://boxd.it/9Ul8e9,,,,2022-05-05
2025-06-05,X-Men: First Class,2011,https://boxd.it/9Ul8sF,,,,2022-05-05
2025-06-05,X-Men: Apocalypse,2016,https://boxd.it/9Ul9o5,,,,2022-05-05
2025-06-05,X-Men: The Last Stand,2006,https://boxd.it/9UlaNF,,,,2022-05-05
2025-06-05,X2,2003,https://boxd.it/9Ulb6x,,,,2022-05-05
2024-03-11,Blade Runner 2049,2017,https://boxd.it/61OiJZ,5,,,2024-03-11
2024-03-11,Dune: Part Two,2024,https://boxd.it/61Om2P,5,,,2024-03-11
2024-03-20,One Day,2024,https://boxd.it/65wTAZ,3,,,2024-03-19
2025-06-12,A Complete Unknown,2024,https://boxd.it/9YFCRL,4,Yes,,2025-05-12
2025-05-28,King Arthur,2004,https://boxd.it/9PwVWL,4,,,2025-05-28
2025-06-03,City of God,2002,https://boxd.it/9SLFMH,5,Yes,,2025-06-02
