Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-06-12,Step Up,2006,https://boxd.it/9YFzTz,3,,,2019-06-12
2025-06-12,Step Up 2: The Streets,2008,https://boxd.it/9YFA69,4,,,2019-06-12
2025-06-12,Step Up 3D,2010,https://boxd.it/9YFAdT,4,,,2019-06-12
2025-06-12,Step Up Revolution,2012,https://boxd.it/9YFAnJ,4.5,,,2019-06-12
2025-06-12,Step Up All In,2014,https://boxd.it/9YFAxJ,3,,,2019-06-12
2025-06-12,Alpha,2018,https://boxd.it/9YFwfr,3,,,2020-06-12
2025-06-04,Lucy,2014,https://boxd.it/9TTO9p,3,,,2021-04-01
2025-06-04,Burlesque,2010,https://boxd.it/9TTP5D,4,,,2021-05-04
2025-06-05,Fantastic Beasts: The Secrets of Dumbledore,2022,https://boxd.it/9UliJr,,,,2022-04-13
2025-06-05,Morbius,2022,https://boxd.it/9Uljkd,,,,2022-04-14
2025-06-05,The Lost City,2022,https://boxd.it/9UlkxH,0.5,,,2022-04-16
2025-05-28,Everything Everywhere All at Once,2022,https://boxd.it/9Pynjp,4.5,,,2022-05-01
2025-06-05,Logan,2017,https://boxd.it/9Ul7RJ,5,,,2022-05-05
2025-06-05,The Wolverine,2013,https://boxd.it/9Ulbl3,,,,2022-05-05
2025-06-05,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/9UllcZ,,,,2022-05-05
2025-06-05,Dark Phoenix,2019,https://boxd.it/9UlbBF,,,,2022-05-06
2025-05-28,Fight Club,1999,https://boxd.it/9Pypoh,5,,,2022-05-28
2025-06-05,The New Mutants,2020,https://boxd.it/9UlbUd,2,,,2022-06-05
2025-06-25,Mad Max,1979,https://boxd.it/a72Ver,3.5,,,2022-06-25
2025-06-05,Jurassic World Dominion,2022,https://boxd.it/9Ulm7h,1.5,,,2022-07-28
2025-06-05,Black Panther: Wakanda Forever,2022,https://boxd.it/9Ul6C9,3.5,,,2022-11-30
2025-06-05,Avatar: The Way of Water,2022,https://boxd.it/9Uld3P,5,,,2022-12-16
2025-06-05,American Beauty,1999,https://boxd.it/9UldRF,4,,,2023-02-06
2025-05-28,Barbie,2023,https://boxd.it/9PylYF,4,,,2023-07-30
2025-06-05,Priscilla,2023,https://boxd.it/9Ulf7z,3.5,,,2024-02-27
2025-06-05,Dune: Part Two,2024,https://boxd.it/9UlmH5,5,,,2024-03-11
2025-06-05,Challengers,2024,https://boxd.it/9UlfzD,3,,,2024-05-08
2025-06-05,Trap,2024,https://boxd.it/9Ulg05,1.5,,,2024-08-15
2025-06-05,Twisters,2024,https://boxd.it/9Ulnd1,3,,,2024-08-21
2025-06-05,Gladiator II,2024,https://boxd.it/9Ulo45,5,,,2024-11-21
2025-06-25,Mad Max,1979,https://boxd.it/a72W4R,3.5,Yes,,2024-11-25
2025-06-23,Meet Joe Black,1998,https://boxd.it/a5GgBL,3.5,,,2025-01-23
2025-06-12,Miss Congeniality,2000,https://boxd.it/9YFthf,4,,,2025-03-11
2025-06-12,Little Women,2019,https://boxd.it/9YFrxF,4.5,,,2025-03-12
2025-06-12,The Fall Guy,2024,https://boxd.it/9YFvvD,2.5,,,2025-03-12
2025-06-12,Parthenope,2024,https://boxd.it/9YFw2n,5,,,2025-04-11
2025-06-12,Speak No Evil,2024,https://boxd.it/9YFvOZ,4,,,2025-04-12
2025-06-05,Sinners,2025,https://boxd.it/9UlgI7,5,,,2025-04-22
2025-06-12,Until Dawn,2025,https://boxd.it/9YFzb3,3,,,2025-04-28
2025-06-12,Nobody,2021,https://boxd.it/9YFwx1,3.5,,,2025-04-29
2025-06-12,The Internship,2013,https://boxd.it/9YFznt,3,,,2025-04-30
2025-05-29,Novocaine,2025,https://boxd.it/9PBUXj,3,,,2025-05-02
2025-06-12,Inside Out 2,2024,https://boxd.it/9YFwLR,3.5,,,2025-05-06
2025-06-12,Begin Again,2013,https://boxd.it/9YFzBF,3.5,,,2025-05-07
2025-06-12,Chef,2014,https://boxd.it/9YFDBT,2.5,,,2025-05-17
