Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-06-12,all time,,https://boxd.it/HQPma,

Position,Name,Year,URL,Description
1,Catch Me If You Can,2002,https://boxd.it/29VS,
2,The Dark Knight,2008,https://boxd.it/2b0k,
3,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,
4,Guardians of the Galaxy,2014,https://boxd.it/3VH2,
5,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,
6,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,
7,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,
8,Cars,2006,https://boxd.it/29ho,
9,The Greatest Showman,2017,https://boxd.it/acjI,
10,Ready Player One,2018,https://boxd.it/aZes,
11,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,
12,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,
13,Falling Down,1993,https://boxd.it/194M,
14,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,
15,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,
16,The Royal Tenenbaums,2001,https://boxd.it/1YHU,
17,Gladiator,2000,https://boxd.it/2b9m,
18,Fight Club,1999,https://boxd.it/2a9q,
19,Pulp Fiction,1994,https://boxd.it/29Pq,
20,Joker,2019,https://boxd.it/h4cS,
21,The Truman Show,1998,https://boxd.it/18U8,
22,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
23,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
24,Dune: Part Two,2024,https://boxd.it/pUfA,
25,Black Swan,2010,https://boxd.it/Sw0,
26,Se7en,1995,https://boxd.it/29zs,
27,Forrest Gump,1994,https://boxd.it/728,
28,Kill Bill: Vol. 1,2003,https://boxd.it/70w,
29,(500) Days of Summer,2009,https://boxd.it/1EmM,
30,Good Will Hunting,1997,https://boxd.it/2ahY,
31,Django Unchained,2012,https://boxd.it/2cCk,
32,The Matrix,1999,https://boxd.it/2a1m,
33,Sinners,2025,https://boxd.it/KQMM,
34,The Shawshank Redemption,1994,https://boxd.it/2aHi,
35,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
36,Blade Runner 2049,2017,https://boxd.it/b8wK,
37,Star Wars,1977,https://boxd.it/72s,
38,Back to the Future,1985,https://boxd.it/2b8e,
39,Avatar,2009,https://boxd.it/1Efm,
40,The Empire Strikes Back,1980,https://boxd.it/27Vw,
41,Mamma Mia!,2008,https://boxd.it/1Tnq,
42,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,
43,Return of the Jedi,1983,https://boxd.it/27Vm,
44,Logan,2017,https://boxd.it/7Piy,
45,How to Train Your Dragon,2010,https://boxd.it/1WRy,
46,Venom,2018,https://boxd.it/b8wA,
47,Pitch Perfect,2012,https://boxd.it/3OsE,
48,Top Gun,1986,https://boxd.it/29JC,
49,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
50,Now You See Me,2013,https://boxd.it/2Bsu,
51,The Fast and the Furious,2001,https://boxd.it/1XMu,
52,L.A. Confidential,1997,https://boxd.it/27oC,
53,Alita: Battle Angel,2019,https://boxd.it/e0rS,
54,Troy,2004,https://boxd.it/29TW,
55,Puss in Boots,2011,https://boxd.it/eL34,
56,Focus,2015,https://boxd.it/7zl2,
57,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
58,Suicide Squad,2016,https://boxd.it/9row,
59,Jurassic World,2015,https://boxd.it/4n0g,
60,Garden State,2004,https://boxd.it/2asW,
61,Step Up Revolution,2012,https://boxd.it/31yo,
62,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,
63,Bolt,2008,https://boxd.it/1QXg,
64,Pan,2015,https://boxd.it/7XYi,
65,The Graduate,1967,https://boxd.it/18Im,
66,Dinner in America,2020,https://boxd.it/oinu,
67,Thelma & Louise,1991,https://boxd.it/28Ew,
68,Ready or Not,2019,https://boxd.it/kOf0,
69,The Sound of Music,1965,https://boxd.it/1MLK,
70,The Beach,2000,https://boxd.it/27T6,
71,Vanilla Sky,2001,https://boxd.it/27TK,
72,Incendies,2010,https://boxd.it/Msm,
73,I Come,2000,https://boxd.it/Lws,
74,Thesis,1996,https://boxd.it/1Z1U,
