Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-06-16,music in film,,https://boxd.it/HXVmY,

Position,Name,Year,URL,Description
1,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,
2,Dinner in America,2020,https://boxd.it/oinu,
3,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
4,Sinners,2025,https://boxd.it/KQMM,
5,Mamma Mia!,2008,https://boxd.it/1Tnq,
6,Empire Records,1995,https://boxd.it/1PY8,
7,How to Train Your Dragon,2010,https://boxd.it/1WRy,
8,Pitch Perfect,2012,https://boxd.it/3OsE,
9,The Greatest Showman,2017,https://boxd.it/acjI,
10,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,
11,Garden State,2004,https://boxd.it/2asW,
12,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,
13,The Royal Tenenbaums,2001,https://boxd.it/1YHU,
14,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,
15,Step Up Revolution,2012,https://boxd.it/31yo,
16,Guardians of the Galaxy,2014,https://boxd.it/3VH2,
17,Sing Street,2016,https://boxd.it/cOo6,
18,Magnolia,1999,https://boxd.it/2aze,
19,Sinbad: Legend of the Seven Seas,2003,https://boxd.it/1Oa2,
20,Oldboy,2003,https://boxd.it/29R2,
21,Three Colours: Blue,1993,https://boxd.it/2b7K,
22,Boogie Nights,1997,https://boxd.it/23um,
23,Chungking Express,1994,https://boxd.it/1UDa,
24,I Come,2000,https://boxd.it/Lws,
25,Mean Streets,1973,https://boxd.it/2aSU,
26,Thelma & Louise,1991,https://boxd.it/28Ew,
27,The Sound of Music,1965,https://boxd.it/1MLK,
28,Caught Stealing,2025,https://boxd.it/LnyS,
29,Casino,1995,https://boxd.it/2ads,
30,Once Upon a Time in the West,1968,https://boxd.it/2az4,
31,Sommersby,1993,https://boxd.it/296A,
32,TRON: Ares,2025,https://boxd.it/jqdM,
33,Legend,2015,https://boxd.it/8qZY,
