Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-06-16,universes I want to be a part of ,,https://boxd.it/HXN5U,

Position,Name,Year,URL,Description
1,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,
2,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,
3,Star Wars,1977,https://boxd.it/72s,
4,Return of the Jedi,1983,https://boxd.it/27Vm,
5,The Empire Strikes Back,1980,https://boxd.it/27Vw,
6,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,
7,The Dark Knight,2008,https://boxd.it/2b0k,
8,Batman Begins,2005,https://boxd.it/2aIg,
9,The Dark Knight Rises,2012,https://boxd.it/H3m,
10,Guardians of the Galaxy,2014,https://boxd.it/3VH2,
11,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,
12,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,
13,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,
14,Pirates of the Caribbean: Dead Man's Chest,2006,https://boxd.it/2bfk,
15,Pirates of the Caribbean: On Stranger Tides,2011,https://boxd.it/27Z4,
16,Pirates of the Caribbean: At World's End,2007,https://boxd.it/2aGu,
17,Pirates of the Caribbean: Dead Men Tell No Tales,2017,https://boxd.it/5a9m,
18,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
19,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,
20,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
21,The Hobbit: The Desolation of Smaug,2013,https://boxd.it/nmS,
22,The Hobbit: An Unexpected Journey,2012,https://boxd.it/GZk,
23,The Hobbit: The Battle of the Five Armies,2014,https://boxd.it/43aU,
24,The Matrix,1999,https://boxd.it/2a1m,
25,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,
26,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,
27,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1RYu,
28,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,
29,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,
30,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,
31,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,
32,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,
33,Back to the Future,1985,https://boxd.it/2b8e,
34,Back to the Future Part III,1990,https://boxd.it/2aTS,
35,Back to the Future Part II,1989,https://boxd.it/2aYI,
36,Dune: Part Two,2024,https://boxd.it/pUfA,
37,Dune,2021,https://boxd.it/fA7G,
38,How to Train Your Dragon,2010,https://boxd.it/1WRy,
39,How to Train Your Dragon 2,2014,https://boxd.it/2TRW,
40,How to Train Your Dragon: The Hidden World,2019,https://boxd.it/5a9w,
41,Rise of the Planet of the Apes,2011,https://boxd.it/cS4,
42,War for the Planet of the Apes,2017,https://boxd.it/8FE2,
43,Dawn of the Planet of the Apes,2014,https://boxd.it/3XyQ,
44,Kingdom of the Planet of the Apes,2024,https://boxd.it/ohEE,
45,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
46,Mad Max 2,1981,https://boxd.it/1ZPg,
47,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk,
48,Mad Max,1979,https://boxd.it/1Y7i,
49,Mad Max Beyond Thunderdome,1985,https://boxd.it/1YTm,
50,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
51,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8,
52,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,
53,Indiana Jones and the Kingdom of the Crystal Skull,2008,https://boxd.it/2aR8,
54,The Fast and the Furious,2001,https://boxd.it/1XMu,
55,Spider-Man,2002,https://boxd.it/2a8i,
56,Spider-Man 2,2004,https://boxd.it/2a88,
57,Spider-Man 3,2007,https://boxd.it/2a7Y,
58,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
59,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
60,The Amazing Spider-Man,2012,https://boxd.it/27PI,
61,The Amazing Spider-Man 2,2014,https://boxd.it/3utM,
62,Jurassic Park,1993,https://boxd.it/2aA2,
63,Jurassic World,2015,https://boxd.it/4n0g,
