Date,Name,Year,Letterboxd URI
2024-03-19,Empire of the Sun,1987,https://boxd.it/1X4i
2024-03-19,The Big Blue,1988,https://boxd.it/2aX6
2024-07-01,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G
2024-08-02,Come and See,1985,https://boxd.it/1w9q
2024-09-03,Three Colours: Red,1994,https://boxd.it/2b7q
2024-09-27,Barry Lyndon,1975,https://boxd.it/25A2
2024-11-04,Smile,2022,https://boxd.it/xjfE
2024-11-10,Yojimbo,1961,https://boxd.it/1SRY
2024-12-12,Blue Is the Warmest Color,2013,https://boxd.it/4O40
2025-08-15,Pan's Labyrinth,2006,https://boxd.it/28No
2025-08-15,Open Your Eyes,1997,https://boxd.it/27TU
2025-08-21,Magic Farm,2025,https://boxd.it/NZAm
2025-09-05,"""Wuthering Heights""",2026,https://boxd.it/OdIa
2025-09-16,Your Highness,2011,https://boxd.it/16g6
2025-09-25,The Prestige,2006,https://boxd.it/293w
2025-09-25,Pillow Talk,1959,https://boxd.it/23AE
2025-10-15,One Battle After Another,2025,https://boxd.it/DUHM
2025-10-15,The Smashing Machine,2025,https://boxd.it/syUC
2025-10-15,Weapons,2025,https://boxd.it/EMTM
2025-10-19,Heartbreakers,2001,https://boxd.it/1Vhu
2025-10-21,Smoke & Mirrors,2016,https://boxd.it/cjtY
2025-11-12,Vicky Cristina Barcelona,2008,https://boxd.it/23rW
2025-11-12,Footloose,2011,https://boxd.it/2cnk
2025-11-19,Frankenstein,2025,https://boxd.it/Ecsg
2025-11-29,Altar mayor,1944,https://boxd.it/gWEO
2025-12-01,Atonement,2007,https://boxd.it/24ui
