Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-09-26,One Battle After Another,2025,https://boxd.it/baJENP,1,,,2025-09-25
2025-10-20,Twilight,2008,https://boxd.it/bq5YR7,3,,,2025-10-19
2025-10-20,The Twilight Saga: New Moon,2009,https://boxd.it/bq5ZP7,1.5,,,2025-10-19
2025-10-20,The Twilight Saga: Eclipse,2010,https://boxd.it/bq60Dh,2,,,2025-10-19
2025-10-20,The Twilight Saga: Breaking Dawn – Part 1,2011,https://boxd.it/bq61pv,2,,,2025-10-19
2025-10-20,The Twilight Saga: Breaking Dawn – Part 2,2012,https://boxd.it/bq61VL,2.5,,,2025-10-19
2025-10-20,10 Things I Hate About You,1999,https://boxd.it/bqla05,3.5,,,2025-10-19
2025-10-26,28 Years Later,2025,https://boxd.it/bub1HP,2.5,,,2025-10-26
2025-10-26,Vampire's Kiss,1988,https://boxd.it/bubcZP,2,,,2025-10-26
2025-10-26,The Naked Gun: From the Files of Police Squad!,1988,https://boxd.it/bubeUH,2,,,2025-10-26
2025-10-29,Ballad of a Small Player,2025,https://boxd.it/bwYeoR,2,,,2025-10-29
2025-10-31,Forgetting Sarah Marshall,2008,https://boxd.it/bxDMrx,3.5,,,2025-10-30
2025-11-01,50/50,2011,https://boxd.it/byV4pH,3.5,,,2025-11-01
2025-11-05,He's Just Not That Into You,2009,https://boxd.it/bBung3,2,,,2025-11-05
2025-11-05,Crazy Rich Asians,2018,https://boxd.it/bBunWX,2,,,2025-11-05
2025-11-24,Frankenstein,2025,https://boxd.it/bOAx17,3,,,2025-11-24
2025-12-02,The Revenant,2015,https://boxd.it/bTWACp,3.5,,,2025-12-01
