Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-03-11,movies that changed my life,,https://boxd.it/tP9CC,i cant explain it they just did

Position,Name,Year,URL,Description
1,Stand by Me,1986,https://boxd.it/2aOe,
2,Dead Poets Society,1989,https://boxd.it/2aSg,
3,Before Sunrise,1995,https://boxd.it/2bcU,
4,La La Land,2016,https://boxd.it/a5fa,
5,Interstellar,2014,https://boxd.it/4VZ8,
6,The Truman Show,1998,https://boxd.it/18U8,
7,Triangle of Sadness,2022,https://boxd.it/hXlq,
8,Gone Girl,2014,https://boxd.it/6hQu,
9,Mamma Mia!,2008,https://boxd.it/1Tnq,
10,Notting Hill,1999,https://boxd.it/2aeK,
11,Barbie in the 12 Dancing Princesses,2006,https://boxd.it/1R34,
12,Barbie and the Magic of Pegasus,2005,https://boxd.it/1Lgc,
13,Barbie of Swan Lake,2003,https://boxd.it/1MZM,
14,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
15,How to Train Your Dragon,2010,https://boxd.it/1WRy,
16,Wreck-It Ralph,2012,https://boxd.it/2TTS,
17,The Holiday,2006,https://boxd.it/28ye,
18,When Harry Met Sally...,1989,https://boxd.it/29W2,
19,Blended,2014,https://boxd.it/6QQY,
