Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-02-07,other favs,,https://boxd.it/sQxt8,other than my top 4 💟

Position,Name,Year,URL,Description
1,Interstellar,2014,https://boxd.it/4VZ8,
2,Mike and Dave Need Wedding Dates,2016,https://boxd.it/aciK,
3,Triangle of Sadness,2022,https://boxd.it/hXlq,
4,The Hunger Games,2012,https://boxd.it/2uds,
5,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,
6,Gone Girl,2014,https://boxd.it/6hQu,
7,Blended,2014,https://boxd.it/6QQY,
8,Catch Me If You Can,2002,https://boxd.it/29VS,
9,He's Just Not That Into You,2009,https://boxd.it/1WSG,
10,Pride & Prejudice,2005,https://boxd.it/24u8,
11,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
12,We're the Millers,2013,https://boxd.it/4srQ,
13,Cinderella,2015,https://boxd.it/4KX6,
14,Smurfs: The Lost Village,2017,https://boxd.it/4pCG,
15,Titanic,1997,https://boxd.it/2a2k,
16,Back to the Future,1985,https://boxd.it/2b8e,
17,The Truman Show,1998,https://boxd.it/18U8,
18,Call Me by Your Name,2017,https://boxd.it/dYmm,
19,The Social Network,2010,https://boxd.it/17ue,
20,Pitch Perfect,2012,https://boxd.it/3OsE,
21,Just Go with It,2011,https://boxd.it/Doq,
22,The Holiday,2006,https://boxd.it/28ye,
23,When Harry Met Sally...,1989,https://boxd.it/29W2,
24,Pretty Woman,1990,https://boxd.it/2b6M,
25,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,
26,How to Train Your Dragon,2010,https://boxd.it/1WRy,
27,The House Bunny,2008,https://boxd.it/1RyG,
28,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8,
29,Ready or Not,2019,https://boxd.it/kOf0,
30,Black Swan,2010,https://boxd.it/Sw0,
31,Another Cinderella Story,2008,https://boxd.it/1MHS,
32,Bratz,2007,https://boxd.it/1OIS,
33,13 Going on 30,2004,https://boxd.it/1X6e,
34,Twilight,2008,https://boxd.it/1Zui,
35,What's Your Number?,2011,https://boxd.it/6P4,
36,Avatar: The Way of Water,2022,https://boxd.it/2E2E,
37,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,
38,Good Will Hunting,1997,https://boxd.it/2ahY,
39,Frozen,2013,https://boxd.it/3GNa,
40,The Hangover,2009,https://boxd.it/1GjK,
