Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-02-07,The Menu,2022,https://boxd.it/3Pd1aP,3.5,,,2023-02-07
2023-02-07,Triangle of Sadness,2022,https://boxd.it/3Pd1zb,5,,,2023-02-07
2023-02-07,Avatar: The Way of Water,2022,https://boxd.it/3Pd2iF,4,,,2023-02-07
2023-02-07,Glass Onion,2022,https://boxd.it/3Pd2wd,2.5,,,2023-02-07
2023-02-07,How to Lose a Guy in 10 Days,2003,https://boxd.it/3Pd2SD,4,,,2023-02-07
2023-02-07,Mike and Dave Need Wedding Dates,2016,https://boxd.it/3Pd34J,5,,,2023-02-07
2023-02-07,Me Before You,2016,https://boxd.it/3Pd47f,4,,,2023-02-07
2023-02-07,27 Dresses,2008,https://boxd.it/3Pd4ED,4,,,2023-02-07
2023-02-07,Call Me by Your Name,2017,https://boxd.it/3Pd5Hj,4.5,,,2023-02-07
2023-02-07,Clueless,1995,https://boxd.it/3Pd6BB,4,,,2023-02-07
2023-02-07,Pride & Prejudice,2005,https://boxd.it/3Pd6KX,5,,,2023-02-07
2023-02-07,Palm Springs,2020,https://boxd.it/3Pd71f,4.5,,,2023-02-07
2023-02-07,Mamma Mia!,2008,https://boxd.it/3Pd7dP,5,,,2023-02-07
2023-02-07,Crazy Rich Asians,2018,https://boxd.it/3Pd7nF,5,,,2023-02-07
2023-02-07,"Crazy, Stupid, Love.",2011,https://boxd.it/3Pd7yt,4.5,,,2023-02-07
2023-02-07,Pitch Perfect,2012,https://boxd.it/3Pd7YB,5,,,2023-02-07
2023-02-07,Atonement,2007,https://boxd.it/3Pd8ct,3.5,,,2023-02-07
2023-02-07,The Social Network,2010,https://boxd.it/3PdbBB,5,,,2023-02-07
2023-02-14,Another Cinderella Story,2008,https://boxd.it/3R0Fwt,5,,,2023-02-14
2023-02-14,Tangled,2010,https://boxd.it/3R2Kg5,5,,,2023-02-14
2023-02-15,Ingrid Goes West,2017,https://boxd.it/3R8hQ1,3.5,,,2023-02-14
2023-02-15,Happiest Season,2020,https://boxd.it/3R8hUx,3,,,2023-02-14
2023-02-15,The Little Hours,2017,https://boxd.it/3R8hZx,3.5,,,2023-02-14
2023-02-15,Dirty Grandpa,2016,https://boxd.it/3R8i85,2.5,,,2023-02-14
2023-02-15,Life After Beth,2014,https://boxd.it/3R8iaZ,3,,,2023-02-14
2023-02-15,Scott Pilgrim vs. the World,2010,https://boxd.it/3R8ixf,2.5,,,2023-02-14
2023-02-15,Hotel Transylvania,2012,https://boxd.it/3R8iF9,4,,,2023-02-14
2023-02-15,Monte Carlo,2011,https://boxd.it/3R8iLr,3,,,2023-02-14
2023-02-15,Princess Protection Program,2009,https://boxd.it/3R8iQh,3.5,,,2023-02-14
2023-02-15,Wizards of Waverly Place: The Movie,2009,https://boxd.it/3R8j1J,5,,,2023-02-14
2023-02-15,Wizards on Deck with Hannah Montana,2009,https://boxd.it/3R8jiZ,5,,,2023-02-14
2023-02-15,WandaVision,2021,https://boxd.it/3R8jMF,5,,,2023-02-14
2023-02-15,Avengers: Infinity War,2018,https://boxd.it/3R8jXt,5,,,2023-02-14
2023-02-15,Black Swan,2010,https://boxd.it/3R8llL,4,,,2023-02-14
2023-02-15,Twilight,2008,https://boxd.it/3R8lG5,4,,,2023-02-14
2023-02-15,Coraline,2009,https://boxd.it/3R8lRd,4,,,2023-02-14
2023-02-15,Blended,2014,https://boxd.it/3R8mjh,5,,,2023-02-14
2023-02-15,We're the Millers,2013,https://boxd.it/3R8mrP,5,,,2023-02-14
2023-02-17,Just Married,2003,https://boxd.it/3RPwOb,4,,,2023-02-17
2023-02-17,Just Go with It,2011,https://boxd.it/3RPx3P,5,,,2023-02-17
2023-02-17,Uptown Girls,2003,https://boxd.it/3RPXlb,4,,,2023-02-17
2023-02-18,Black Panther: Wakanda Forever,2022,https://boxd.it/3RT8Kn,3.5,,,2023-02-17
2023-02-19,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/3SqqiH,3,,,2023-02-19
2023-02-22,Spirited Away,2001,https://boxd.it/3To9MP,4,,,2023-02-22
2023-03-15,Interstellar,2014,https://boxd.it/3YZGQ5,5,,,2023-03-14
2023-03-15,The Hunger Games,2012,https://boxd.it/3ZdiY3,5,,,2023-03-15
2023-03-15,The Hunger Games: Catching Fire,2013,https://boxd.it/3Zdj8d,5,,,2023-03-15
2023-03-17,Scream VI,2023,https://boxd.it/3ZvoDr,4,,,2023-03-16
2023-03-18,Inception,2010,https://boxd.it/3ZKfdf,4,,,2023-03-17
2023-03-19,Gone Girl,2014,https://boxd.it/3ZYVxf,5,,,2023-03-18
2023-03-20,Scream 2,1997,https://boxd.it/40ATmb,3,,,2023-03-20
2023-04-03,Joker,2019,https://boxd.it/441GmN,4,,,2023-04-02
2023-04-04,Ready or Not,2019,https://boxd.it/44mNpB,4,,,2023-04-03
