Date,Name,Year,Letterboxd URI,Rating
2023-02-07,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4
2023-02-07,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,4
2023-02-07,Triangle of Sadness,2022,https://boxd.it/hXlq,5
2023-02-07,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,4
2023-02-07,Mike and Dave Need Wedding Dates,2016,https://boxd.it/aciK,5
2023-02-07,27 Dresses,2008,https://boxd.it/21x4,4
2023-02-07,Call Me by Your Name,2017,https://boxd.it/dYmm,4.5
2023-02-07,10 Things I Hate About You,1999,https://boxd.it/23AO,4
2023-02-07,Palm Springs,2020,https://boxd.it/lCXQ,4.5
2023-02-07,Mamma Mia!,2008,https://boxd.it/1Tnq,5
2023-02-07,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,4.5
2023-02-07,Legally Blonde,2001,https://boxd.it/1ZNa,4
2023-02-07,Pitch Perfect,2012,https://boxd.it/3OsE,5
2023-02-07,Atonement,2007,https://boxd.it/24ui,3.5
2023-02-07,The Social Network,2010,https://boxd.it/17ue,5
2023-02-14,Another Cinderella Story,2008,https://boxd.it/1MHS,5
2023-02-14,Tangled,2010,https://boxd.it/15gO,5
2023-02-15,Happiest Season,2020,https://boxd.it/iS3I,3
2023-02-15,Life After Beth,2014,https://boxd.it/7bqM,3
2023-02-15,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,2.5
2023-02-15,Hotel Transylvania,2012,https://boxd.it/2DF6,4
2023-02-15,Wizards on Deck with Hannah Montana,2009,https://boxd.it/2HCU,5
2023-02-15,WandaVision,2021,https://boxd.it/sbGW,5
2023-02-15,Black Swan,2010,https://boxd.it/Sw0,4
2023-02-15,Coraline,2009,https://boxd.it/1NhQ,4
2023-02-15,Blended,2014,https://boxd.it/6QQY,5
2023-02-15,We're the Millers,2013,https://boxd.it/4srQ,5
2023-02-17,Just Go with It,2011,https://boxd.it/Doq,5
2023-02-17,Uptown Girls,2003,https://boxd.it/1N64,4
2023-02-22,Spirited Away,2001,https://boxd.it/2b4m,4
2023-03-15,Interstellar,2014,https://boxd.it/4VZ8,5
2023-03-15,The Hunger Games,2012,https://boxd.it/2uds,5
2023-03-15,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,5
2023-03-17,La La Land,2016,https://boxd.it/a5fa,5
2023-03-18,Inception,2010,https://boxd.it/1skk,4
2023-03-19,Gone Girl,2014,https://boxd.it/6hQu,5
2023-03-20,Scream 2,1997,https://boxd.it/24Es,3
2023-03-27,Daisy Jones & the Six,2023,https://boxd.it/FmyA,4
2023-04-04,Ready or Not,2019,https://boxd.it/kOf0,4
2023-04-05,Catch Me If You Can,2002,https://boxd.it/29VS,4.5
2023-04-28,Gravity,2013,https://boxd.it/GZY,2
2023-05-01,How to Train Your Dragon,2010,https://boxd.it/1WRy,5
2023-05-06,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,4
2023-05-06,The Conjuring,2013,https://boxd.it/4sr2,4
2023-05-06,Queen Charlotte: A Bridgerton Story,2023,https://boxd.it/GovU,4.5
2023-05-25,The Little Mermaid,2023,https://boxd.it/fVum,5
2023-06-02,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,5
2023-06-22,"Lyle, Lyle, Crocodile",2022,https://boxd.it/vkfm,4
2023-06-25,No Hard Feelings,2023,https://boxd.it/xouu,3.5
2023-08-06,Meg 2: The Trench,2023,https://boxd.it/mLvo,1.5
2023-08-06,My Fault,2023,https://boxd.it/CcDk,1
2023-08-06,Dead Poets Society,1989,https://boxd.it/2aSg,5
2023-08-11,Smurfs: The Lost Village,2017,https://boxd.it/4pCG,5
2023-08-12,Chip 'n Dale: Rescue Rangers,2022,https://boxd.it/eSk2,5
2023-08-29,Blue Beetle,2023,https://boxd.it/kJLq,1
2023-08-29,Dune,2021,https://boxd.it/fA7G,0.5
