Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-02-07,The Menu,2022,https://boxd.it/3Pd1aP,3.5,,i love anya taylor joy,,2023-02-07
2023-02-07,Triangle of Sadness,2022,https://boxd.it/3Pd1zb,5,,the perfect movie,,2023-02-07
2023-02-15,Twilight,2008,https://boxd.it/3R8lG5,4,,i mean come on it’s twilight,,2023-02-14
2023-04-09,The Super Mario Bros. Movie,2023,https://boxd.it/463jJr,5,,don’t care loved this,,2023-04-09
2023-04-24,The House Bunny,2008,https://boxd.it/49Sxkf,4,,seen this movie too many times,,2023-04-24
2023-05-01,How to Train Your Dragon,2010,https://boxd.it/4bVmYx,5,,rewatched and cried,,2023-05-01
2023-05-06,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/4df0YT,4,,don’t like the ending,,2023-05-06
2023-05-07,"Lyle, Lyle, Crocodile",2022,https://boxd.it/4dlAiL,4,,unironically loved this,,2023-05-06
2023-08-06,Meg 2: The Trench,2023,https://boxd.it/4EeAIN,1.5,,what were the dinosaurs doing there,,2023-08-06
2023-09-06,Before Sunrise,1995,https://boxd.it/4O1muB,5,,wow,,2023-09-05
2023-09-26,Stand by Me,1986,https://boxd.it/4TFCwj,5,,this movie is everything to me,,2023-09-25
2023-09-28,Mambo Girl,1957,https://boxd.it/4Uc9BZ,3,,had to watch this for my film class and the only one i found was 240p on youtube… anyway it’s so strange but kinda fire but also like awful,,2023-09-27
2023-09-30,Saw X,2023,https://boxd.it/4UJytH,2,,dnf!,,2023-09-29
2023-09-30,Romeo + Juliet,1996,https://boxd.it/4UKvpz,4.5,,i thought i rated this ages ago,,
2023-10-21,Whatever It Takes,2000,https://boxd.it/51FBFV,2,,this is so 2000s,,2023-10-21
2023-10-28,Five Nights at Freddy's,2023,https://boxd.it/53VmPL,3,,very fun,,2023-10-27
2023-11-15,Four Christmases,2008,https://boxd.it/5a3dp5,3.5,,they’re so cute,,2023-11-14
2023-11-30,The Killer,1989,https://boxd.it/5f5uuv,3,,rating the movies i had to watch for my hk film class !,,2023-11-29
2023-12-05,Pillow Talk,1959,https://boxd.it/5h3TXh,3,,strange,,2023-12-05
2023-12-08,Home Alone,1990,https://boxd.it/5hFtR9,4.5,,gonna rate the christmas movies i’ve seen,,
2024-01-05,(500) Days of Summer,2009,https://boxd.it/5v3wBN,4,,finally actually finished this movie 😭,,2024-01-05
2024-01-06,13 Going on 30,2004,https://boxd.it/5vbKwX,4.5,,thought i added this ages ago !!,,
2024-01-07,50 First Dates,2004,https://boxd.it/5wBDxF,4.5,,rewatched again,,
2024-01-20,Anyone But You,2023,https://boxd.it/5DCqz9,2,,who the hell lied and said this was anything but awful,,2024-01-20
2024-02-10,Bratz,2007,https://boxd.it/5Nk2DF,4.5,,childhood fav fr,,
2024-02-10,Cinderella,2015,https://boxd.it/5Nk3yh,5,,my fav live action 🤗,,
2024-02-11,My Best Friend's Wedding,1997,https://boxd.it/5NJmCR,3,,am i supposed to like or forgive her??!!!,,2024-02-10
