Date,Name,Year,Letterboxd URI
2023-09-29,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2023-09-29,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2023-09-30,Shutter Island,2010,https://boxd.it/1U82
2023-10-04,Project X,2012,https://boxd.it/neO
2023-10-04,Se7en,1995,https://boxd.it/29zs
2023-10-07,Bram Stoker's Dracula,1992,https://boxd.it/223a
2023-10-07,The Night Before,2015,https://boxd.it/9n9W
2023-10-14,Friday the 13th,2009,https://boxd.it/1QAw
2023-10-14,Halloween,1978,https://boxd.it/2wRu
2023-10-14,A Nightmare on Elm Street,1984,https://boxd.it/2aw0
2023-10-14,Last Night in Soho,2021,https://boxd.it/lbJC
2023-10-14,The Little Rascals,1994,https://boxd.it/1V8i
2023-10-15,Moulin Rouge!,2001,https://boxd.it/29wI
2023-10-31,Fools Rush In,1997,https://boxd.it/27JK
2023-11-23,Marie Antoinette,2006,https://boxd.it/27Wa
2023-12-14,EXmas,2023,https://boxd.it/JeKc
2023-12-23,Heaven Can Wait,1943,https://boxd.it/1Gpy
2023-12-23,Sabrina,1954,https://boxd.it/21tc
2024-02-20,Past Lives,2023,https://boxd.it/oNB8
2024-02-20,The Hitchhiker's Guide to the Galaxy,2005,https://boxd.it/20VE
2024-02-25,The Color Purple,2023,https://boxd.it/ksja
2024-02-26,Shallow Hal,2001,https://boxd.it/1XBm
2024-02-27,Riding in Cars with Boys,2001,https://boxd.it/1UF6
2024-02-29,Tomorrowland,2015,https://boxd.it/4YaC
2024-03-01,The Grandmaster,2013,https://boxd.it/QU0
2024-03-01,"It's a Mad, Mad, Mad, Mad World",1963,https://boxd.it/1TvO
2024-03-03,Funny Face,1957,https://boxd.it/1Qpy
2024-03-05,The Sweetest Thing,2002,https://boxd.it/1T28
2024-03-11,Blade Runner 2049,2017,https://boxd.it/b8wK
2024-03-14,Singin' in the Rain,1952,https://boxd.it/29oY
2024-03-17,My Neighbor Totoro,1988,https://boxd.it/20eA
2024-03-17,Ponyo,2008,https://boxd.it/1S0A
2024-03-30,Get Out,2017,https://boxd.it/eOCm
2024-05-09,Hot Rod,2007,https://boxd.it/1X9C
2024-05-09,Citizen Kane,1941,https://boxd.it/71O
2024-05-12,Going the Distance,2010,https://boxd.it/16Pq
2024-05-12,Before Midnight,2013,https://boxd.it/4ive
2024-05-12,Jane Eyre,2011,https://boxd.it/15rs
2024-09-06,Beetlejuice,1988,https://boxd.it/24QI
2024-09-06,MaXXXine,2024,https://boxd.it/CIM4
2024-09-06,But I'm a Cheerleader,1999,https://boxd.it/1CW4
2024-09-11,Because I Said So,2007,https://boxd.it/28ZE
2024-09-29,Three Colours: Blue,1993,https://boxd.it/2b7K
2024-09-29,Raiders of the Lost Ark,1981,https://boxd.it/2bbs
2024-09-29,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8
2024-09-29,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO
2024-09-29,One Hundred and One Dalmatians,1961,https://boxd.it/1SeC
2024-10-11,Music and Lyrics,2007,https://boxd.it/1Usw
2024-10-18,Up in the Air,2009,https://boxd.it/1zPY
2024-10-18,Drinking Buddies,2013,https://boxd.it/5jhk
2024-10-18,School Ties,1992,https://boxd.it/1NAe
2024-10-20,Death Becomes Her,1992,https://boxd.it/1YQi
2024-10-25,Girl Crazy,1943,https://boxd.it/10D4
2024-10-26,Practical Magic,1998,https://boxd.it/21HS
2024-10-27,Thirteen,2003,https://boxd.it/1UPK
2024-11-04,The Handmaiden,2016,https://boxd.it/948A
2024-11-04,Despicable Me 4,2024,https://boxd.it/iOLG
2024-11-04,Barbie and the Secret Door,2014,https://boxd.it/8R2k
2024-11-04,Secretary,2002,https://boxd.it/1URc
2024-11-04,Movie 43,2013,https://boxd.it/37qK
2024-11-05,The Starving Games,2013,https://boxd.it/6FCG
2024-11-05,All of Us Strangers,2023,https://boxd.it/Bz3C
2024-11-05,Lost in Translation,2003,https://boxd.it/2b0E
2024-11-06,Saturday Night,2024,https://boxd.it/Gpfo
2024-11-10,Notes on a Scandal,2006,https://boxd.it/28Zu
2024-11-25,The Aristocats,1970,https://boxd.it/1X3Y
2024-11-25,This Is 40,2012,https://boxd.it/39WI
2024-11-28,Moon,2009,https://boxd.it/1IGQ
2024-12-01,The Wizard of Oz,1939,https://boxd.it/29Xu
2024-12-05,Thumbelina,1994,https://boxd.it/1qpW
2024-12-10,L.A. Confidential,1997,https://boxd.it/27oC
2024-12-12,mid90s,2018,https://boxd.it/fxIa
2024-12-13,The Wind That Shakes the Barley,2006,https://boxd.it/293Q
2024-12-13,American Hustle,2013,https://boxd.it/5dz8
2024-12-13,You've Got Mail,1998,https://boxd.it/1Yye
2024-12-13,Never Been Kissed,1999,https://boxd.it/1U3c
2024-12-13,While You Were Sleeping,1995,https://boxd.it/27wm
