Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-08-13,La La Land,2016,https://boxd.it/4GOeJf,5,,,2016-09-13
2023-08-13,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4GOeYT,5,,,2023-08-13
2023-08-13,Meg 2: The Trench,2023,https://boxd.it/4GOf6N,2,,,2023-08-13
2023-08-13,The Truman Show,1998,https://boxd.it/4GOfbD,5,,,2023-08-13
2023-08-13,The Beatles: Get Back,2021,https://boxd.it/4GOfLB,5,,,2023-08-13
2023-11-05,Blue Beetle,2023,https://boxd.it/578DhJ,2,,,2023-08-29
2023-11-05,The Creator,2023,https://boxd.it/578AXn,0.5,,,2023-10-10
2023-10-29,The Nightmare Before Christmas,1993,https://boxd.it/54Cm4B,3.5,,,2023-10-28
2023-11-06,Jojo Rabbit,2019,https://boxd.it/57hnuF,5,,,2023-11-05
2023-11-06,Aftersun,2022,https://boxd.it/57hnYF,3,,,2023-11-05
2023-11-06,The Imitation Game,2014,https://boxd.it/57hoib,4.5,,,2023-11-05
2023-11-06,Vivarium,2019,https://boxd.it/57hoyX,3,,,2023-11-05
2023-11-17,Black Swan,2010,https://boxd.it/5aQQ65,4.5,,,2023-11-17
2023-12-10,The Boy and the Heron,2023,https://boxd.it/5izeDD,2.5,,,2023-12-09
2023-12-29,Past Lives,2023,https://boxd.it/5qHr29,4.5,,,2023-12-13
2023-12-26,Wonka,2023,https://boxd.it/5p0yvH,2.5,,,2023-12-26
2024-01-05,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/5uGMYd,3.5,,,2024-01-05
2024-01-05,Bridget Jones's Diary,2001,https://boxd.it/5uGNLT,4,,,2024-01-05
2024-01-05,Leave the World Behind,2023,https://boxd.it/5uGOwF,1.5,,,2024-01-05
2024-01-07,Saltburn,2023,https://boxd.it/5wuMFz,2.5,,,2024-01-07
2024-01-14,10 Things I Hate About You,1999,https://boxd.it/5ACzQB,4,,,2024-01-14
2024-01-16,No Hard Feelings,2023,https://boxd.it/5BtE2H,3.5,,,2024-01-15
2024-01-25,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/5G9qgv,4.5,,,2024-01-24
2024-03-06,Stand by Me,1986,https://boxd.it/5ZnWNF,4.5,,,2024-03-06
2024-03-30,Mean Girls,2024,https://boxd.it/6acVX7,2.5,,,2024-03-29
2024-08-03,Challengers,2024,https://boxd.it/70WArJ,3,,,2024-08-03
2024-08-19,Deadpool & Wolverine,2024,https://boxd.it/78xe9v,2.5,,,2024-08-19
2024-08-20,Coraline,2009,https://boxd.it/78UTiz,3.5,,,2024-08-19
2024-09-21,It Ends with Us,2024,https://boxd.it/7neB9v,1,,,2024-09-21
2024-12-26,Inside Out 2,2024,https://boxd.it/89PBYp,4,,,2024-12-25
2024-12-30,Conclave,2024,https://boxd.it/8ejZAx,0.5,,,2024-12-30
2025-02-25,We Live in Time,2024,https://boxd.it/8Wz8pJ,3,,,2025-02-24
2025-03-06,Anora,2024,https://boxd.it/92wx2D,4,,,2025-03-06
2025-03-25,Heretic,2024,https://boxd.it/9dE78Z,3,,,2025-03-24
2025-04-16,In the Mood for Love,2000,https://boxd.it/9qgZTz,3,,,2025-04-15
2025-04-23,A Minecraft Movie,2025,https://boxd.it/9uPPEl,0.5,,,2025-04-22
2025-05-07,Sinners,2025,https://boxd.it/9D6wqF,4.5,,,2025-05-07
2025-08-05,Mickey 17,2025,https://boxd.it/aBMKwh,3.5,,,2025-08-04
2025-08-26,Before Sunrise,1995,https://boxd.it/aRDJip,3.5,Yes,,2025-08-04
2025-08-12,Oppenheimer,2023,https://boxd.it/aHGor7,4,,,2025-08-12
2025-08-21,Bones and All,2022,https://boxd.it/aO6tDN,2,,,2025-08-20
2025-08-26,F1,2025,https://boxd.it/aRF6V7,3,Yes,,2025-08-20
2025-08-24,Weapons,2025,https://boxd.it/aQlyth,3,,,2025-08-23
2025-09-26,KPop Demon Hunters,2025,https://boxd.it/baNA5d,3.5,,,2025-09-25
2025-10-01,Woman of the Hour,2023,https://boxd.it/beoO1Z,3,,,2025-10-01
2025-12-11,Catch Me If You Can,2002,https://boxd.it/c0xYfR,5,,,2025-12-11
2025-12-11,Now You See Me: Now You Don't,2025,https://boxd.it/c0xYGD,0.5,,,2025-12-11
