Date,Name,Year,Letterboxd URI
2023-08-13,La La Land,2016,https://boxd.it/a5fa
2023-08-13,The Truman Show,1998,https://boxd.it/18U8
2023-11-06,Jojo Rabbit,2019,https://boxd.it/iEBG
2023-12-10,The Boy and the Heron,2023,https://boxd.it/ipeM
2023-12-29,Past Lives,2023,https://boxd.it/oNB8
2024-01-14,10 Things I Hate About You,1999,https://boxd.it/23AO
2024-01-16,No Hard Feelings,2023,https://boxd.it/xouu
2024-01-25,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2024-03-06,Stand by Me,1986,https://boxd.it/2aOe
2024-12-26,Inside Out 2,2024,https://boxd.it/CFrC
2025-08-05,Mickey 17,2025,https://boxd.it/q1Dk
2025-08-26,Before Sunrise,1995,https://boxd.it/2bcU
