Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-11-08,movies that changed my life (hear me out),,https://boxd.it/Ad7lQ,

Position,Name,Year,URL,Description
1,Now You See Me,2013,https://boxd.it/2Bsu,
2,Last Christmas,2019,https://boxd.it/k38G,
3,Passengers,2016,https://boxd.it/8lFu,
4,Fighting with My Family,2019,https://boxd.it/fRyO,
5,Catch Me If You Can,2002,https://boxd.it/29VS,
6,Black Widow,2021,https://boxd.it/hWV8,
7,Our Times,2015,https://boxd.it/bVeq,
8,Avengers: Endgame,2019,https://boxd.it/9vE4,
9,Avengers: Infinity War,2018,https://boxd.it/9vEe,
10,Bullet Train,2022,https://boxd.it/qW26,
11,Wreck-It Ralph,2012,https://boxd.it/2TTS,
12,Top Gun: Maverick,2022,https://boxd.it/cjr4,
