Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-09-29,comfort movies,,https://boxd.it/pptsa,just go watch a romcom

Position,Name,Year,URL,Description
1,Set It Up,2018,https://boxd.it/dpik,
2,What's Your Number?,2011,https://boxd.it/6P4,
3,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,
4,Top Gun: Maverick,2022,https://boxd.it/cjr4,
5,Not Another Teen Movie,2001,https://boxd.it/1TWq,
6,John Tucker Must Die,2006,https://boxd.it/1Z2S,
7,She's the Man,2006,https://boxd.it/1Y7W,
8,The Princess Diaries,2001,https://boxd.it/1XCO,
9,The Princess Diaries 2: Royal Engagement,2004,https://boxd.it/1UyY,
10,Pitch Perfect,2012,https://boxd.it/3OsE,
11,Instant Family,2018,https://boxd.it/hHpQ,
12,How to Train Your Dragon,2010,https://boxd.it/1WRy,
13,10 Things I Hate About You,1999,https://boxd.it/23AO,
14,Starstruck,2010,https://boxd.it/1cjq,
