Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-09-29,FAVOURITE MOVIES EVER,,https://boxd.it/pqluO,"inc. the aforementioned honourable mentions

not inc. harry potter, disney or marvel related movies"

Position,Name,Year,URL,Description
1,Set It Up,2018,https://boxd.it/dpik,<p>the most perfect movie i’ve ever seen in my life!!!<br><br>nothing will ever top this masterpiece - idc what anyone says</p>
2,Pitch Perfect,2012,https://boxd.it/3OsE,<p>don’t even bother watching the other two.<br><br>jesse and his runs in right-round (studio version) will always live rent free in my mind. he’s truly a perfect specimen!</p>
3,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,"<p>if you could see my literal jaw on the floor when it said “to be continued”… almost had an aneurysm&nbsp;<br><br>this is a no brainer - incredibly funny, beautifully animated (i will never tire of being completely in-awe of the talent), deeply emotional, and HOBIE BROWN!!!!!!!…. need i say more?</p>"
4,Top Gun: Maverick,2022,https://boxd.it/cjr4,"<p>seeing glen powell go from set it up to top gun (even though the sydney sweeney thing kind of ruined him for me) is pure perfection!<br><br>MILES TELLER! MONICA BARBARO!<br><br>just super fun - idk what else to say. the characters, dialogue, flight sequences and cinematography are… *chef’s kiss*</p><p><br></p><p>if i could change one thing - remove all the tom cruise and penny scenes cause the romance is dry af</p>"
5,She's the Man,2006,https://boxd.it/1Y7W,
6,Inception,2010,https://boxd.it/1skk,
7,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,
8,The Princess Diaries 2: Royal Engagement,2004,https://boxd.it/1UyY,CHRIS PINE!!!!! duh
9,Jumanji: Welcome to the Jungle,2017,https://boxd.it/bUeE,
10,What's Your Number?,2011,https://boxd.it/6P4,
11,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,
12,10 Things I Hate About You,1999,https://boxd.it/23AO,
