Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-09-29,MARVEL FAVOURITES,,https://boxd.it/pqmCY,

Position,Name,Year,URL,Description
1,WandaVision,2021,https://boxd.it/sbGW,
2,Avengers: Infinity War,2018,https://boxd.it/9vEe,
3,Avengers: Endgame,2019,https://boxd.it/9vE4,
4,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,
5,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
6,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,
7,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
8,Spider-Man: Far From Home,2019,https://boxd.it/fegG,
9,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,
10,Black Panther,2018,https://boxd.it/8MHs,
11,Thor: Ragnarok,2017,https://boxd.it/8MHi,
12,Captain America: Civil War,2016,https://boxd.it/89Ja,
13,Black Widow,2021,https://boxd.it/hWV8,
