Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-03-15,👁️,,https://boxd.it/tVN5g,i cried a lot

Position,Name,Year,URL,Description
1,When They See Us,2019,https://boxd.it/kbJU,
2,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
3,Dead Poets Society,1989,https://boxd.it/2aSg,
4,Encanto,2021,https://boxd.it/kPRu,
5,The Notebook,2004,https://boxd.it/1UNE,
6,Avengers: Endgame,2019,https://boxd.it/9vE4,
7,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,
8,Bridge to Terabithia,2007,https://boxd.it/28YG,
9,Wreck-It Ralph,2012,https://boxd.it/2TTS,
10,Avengers: Infinity War,2018,https://boxd.it/9vEe,
