Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-01-23,romcoms ive seen,,https://boxd.it/sltl8,

Position,Name,Year,URL,Description
1,Set It Up,2018,https://boxd.it/dpik,
2,She's the Man,2006,https://boxd.it/1Y7W,
3,The Princess Diaries 2: Royal Engagement,2004,https://boxd.it/1UyY,
4,What's Your Number?,2011,https://boxd.it/6P4,
5,27 Dresses,2008,https://boxd.it/21x4,
6,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,
7,10 Things I Hate About You,1999,https://boxd.it/23AO,
8,13 Going on 30,2004,https://boxd.it/1X6e,
9,The Proposal,2009,https://boxd.it/1HiS,
10,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,
11,Crazy Rich Asians,2018,https://boxd.it/gfnK,
