Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-09-29,Black Widow,2021,https://boxd.it/4UsQVP,3.5,,,2021-07-12
2023-09-29,Escape Room: Tournament of Champions,2021,https://boxd.it/4UsW3z,4,,,2021-08-02
2023-09-29,Jungle Cruise,2021,https://boxd.it/4UsSvp,3,,,2021-08-06
2023-09-29,Free Guy,2021,https://boxd.it/4UsWhL,4,,,2021-08-27
2023-09-29,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/4UsRd5,3,,,2021-09-06
2023-09-29,Eternals,2021,https://boxd.it/4UsQqH,2.5,,,2021-11-03
2023-09-29,Spider-Man: No Way Home,2021,https://boxd.it/4UsSdv,5,,,2021-12-15
2023-09-29,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/4UsSS9,3.5,,,2022-05-04
2023-09-29,Lightyear,2022,https://boxd.it/4UsT8r,1.5,,,2022-06-18
2023-09-29,Top Gun: Maverick,2022,https://boxd.it/4UsTzR,5,,,2022-07-02
2023-09-29,Thor: Love and Thunder,2022,https://boxd.it/4UsTOn,3,,,2022-07-06
2023-09-29,Elvis,2022,https://boxd.it/4UsTp3,0.5,,,2022-07-23
2023-09-29,Bullet Train,2022,https://boxd.it/4UsU9v,4.5,,,2022-08-26
2023-09-29,Avatar,2009,https://boxd.it/4UsUkj,4,,,2022-09-30
2023-09-29,Black Panther: Wakanda Forever,2022,https://boxd.it/4UsUvh,3,,,2022-11-12
2023-09-29,Avatar: The Way of Water,2022,https://boxd.it/4UsUGJ,4.5,,,2022-12-21
2023-09-29,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/4UsUWR,3,,,2023-02-19
2023-09-29,Scream VI,2023,https://boxd.it/4UsV9V,4,,,2023-03-18
2023-09-29,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/4UsVoL,4,,,2023-04-13
2023-09-29,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/4UsVH9,4.5,,,2023-05-06
2023-09-29,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4UsX5r,5,,,2023-06-01
2023-09-29,The Little Mermaid,2023,https://boxd.it/4UsXiv,3.5,,,2023-06-02
2023-09-29,Elemental,2023,https://boxd.it/4Ut4Jj,4,,,2023-07-08
2023-09-29,No Hard Feelings,2023,https://boxd.it/4UsWQ7,3.5,,,2023-07-25
2023-09-29,Barbie,2023,https://boxd.it/4UsWFX,4,,,2023-07-29
2023-09-29,Oppenheimer,2023,https://boxd.it/4UsWtx,3.5,,,2023-07-30
2023-09-29,Jurassic World,2015,https://boxd.it/4UsZyb,4.5,,,2023-08-23
2023-09-29,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,https://boxd.it/4UsZ3H,4,,,2023-08-24
2023-09-29,Cinderella,1997,https://boxd.it/4UtaWj,3,,,2023-09-05
2023-09-29,The Chronicles of Narnia: Prince Caspian,2008,https://boxd.it/4Ut0t7,3,,,2023-09-14
2023-09-29,A Haunting in Venice,2023,https://boxd.it/4UsOrD,4.5,,,2023-09-17
2023-09-29,The Menu,2022,https://boxd.it/4UsPB5,4.5,,,2023-09-19
2023-09-29,Mona Lisa Smile,2003,https://boxd.it/4UsYGX,3,,,2023-09-24
2023-09-29,The Wonderful Story of Henry Sugar,2023,https://boxd.it/4UD0Jf,4,,,2023-09-29
2023-10-22,Totally Killer,2023,https://boxd.it/52dYl3,3.5,,,2023-10-22
2023-10-23,Love at First Sight,2023,https://boxd.it/52mTi7,4,,,2023-10-22
2023-10-24,Set It Up,2018,https://boxd.it/52IY5V,5,Yes,,2023-10-23
2023-10-27,The Other Zoey,2023,https://boxd.it/53SkYP,2,,,2023-10-26
2023-10-28,Five Nights at Freddy's,2023,https://boxd.it/53Vn1H,3,,,2023-10-27
2023-11-04,Taylor Swift: The Eras Tour,2023,https://boxd.it/56wiB3,5,,,2023-11-03
2023-11-07,Holes,2003,https://boxd.it/57BUxR,4,Yes,,2023-11-06
2023-11-17,The Princess Diaries,2001,https://boxd.it/5aCKef,4,Yes,,2023-11-16
2023-11-19,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/5bcAwF,4,,,2023-11-18
2023-11-27,The Hunger Games,2012,https://boxd.it/5e92xZ,5,Yes,,2023-11-23
2023-11-27,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/5e925V,4,Yes,,2023-11-24
2023-11-27,The Hunger Games: Catching Fire,2013,https://boxd.it/5e92Th,5,Yes,,2023-11-24
2023-12-04,Taylor Swift: Reputation Stadium Tour,2018,https://boxd.it/5gneFd,5,Yes,,2023-12-01
2023-12-07,The Fast and the Furious,2001,https://boxd.it/5hoFtT,3,,,2023-12-06
2023-12-10,EXmas,2023,https://boxd.it/5ikgAB,3.5,,,2023-12-09
2023-12-17,Zootopia,2016,https://boxd.it/5l61On,5,Yes,,2023-12-17
2023-12-21,Always Be My Maybe,2019,https://boxd.it/5mFW0N,4,,,2023-12-21
2023-12-24,Meet Cute,2022,https://boxd.it/5nAWc9,3,,,2023-12-23
2024-01-01,About Fate,2022,https://boxd.it/5slV8v,3,,,2023-12-30
2024-01-14,50 First Dates,2004,https://boxd.it/5Auf2b,4,,,2024-01-14
2024-01-15,Set It Up,2018,https://boxd.it/5AERrX,5,Yes,,2024-01-14
2024-01-17,Bottoms,2023,https://boxd.it/5BQgOj,3,,,2024-01-16
2024-01-20,Anyone But You,2023,https://boxd.it/5DCyeN,3.5,,,2024-01-20
2024-02-10,Blue Lagoon: The Awakening,2012,https://boxd.it/5Nl5qV,1,,,2024-02-09
2024-02-10,Upgraded,2024,https://boxd.it/5NAF9L,3.5,,,2024-02-10
2024-02-13,Flipped,2010,https://boxd.it/5ONYwf,4,Yes,,2024-02-13
2024-02-14,Argylle,2024,https://boxd.it/5PafWX,4,,,2024-02-13
2024-02-20,Taylor Tomlinson: Have It All,2024,https://boxd.it/5Su8cl,4,,,2024-02-14
2024-02-23,Thanksgiving,2023,https://boxd.it/5TkZLd,3,,,2024-02-22
2024-02-23,Just Go with It,2011,https://boxd.it/5TBgb9,4.5,,,2024-02-22
2024-02-23,Anastasia,1997,https://boxd.it/5TBgId,4,,,2024-02-23
2024-03-01,Don't Worry Darling,2022,https://boxd.it/5WRkxn,2.5,,,2024-03-01
2024-03-03,Instant Family,2018,https://boxd.it/5XoGxF,5,Yes,,2024-03-02
2024-03-12,Crossroads,2002,https://boxd.it/61RZZH,3.5,,,2024-03-11
2024-03-12,Damsel,2024,https://boxd.it/6252qB,2,,,2024-03-11
2024-03-15,Spirited Away,2001,https://boxd.it/6371Nn,4,,,2024-03-14
2024-03-15,My Neighbor Totoro,1988,https://boxd.it/638SxJ,3.5,,,2024-03-14
2024-03-15,Speed,1994,https://boxd.it/63ajm1,5,Yes,,2024-03-15
2024-03-16,Song of the Exile,1990,https://boxd.it/63ywyx,3.5,,,2024-03-15
2024-03-16,From Up on Poppy Hill,2011,https://boxd.it/63N9M7,3.5,,,2024-03-16
2024-03-17,Kiki's Delivery Service,1989,https://boxd.it/643fNd,4,,,2024-03-17
2024-03-18,Echoes of the Rainbow,2010,https://boxd.it/654Zq1,3.5,,,2024-03-18
2024-03-29,The Truman Show,1998,https://boxd.it/69AZx7,5,,,2024-03-28
2024-03-30,Get Out,2017,https://boxd.it/69ZkV3,5,,,2024-03-29
2024-03-30,Dear David,2023,https://boxd.it/6a3gMJ,1.5,,,2024-03-29
2024-03-31,Kung Fu Panda 4,2024,https://boxd.it/6b0qv7,2.5,,,2024-03-31
2024-04-06,How to Date Billy Walsh,2024,https://boxd.it/6dKv0X,1.5,,,2024-04-06
2024-04-21,Top Gun: Maverick,2022,https://boxd.it/6jp2Hb,5,Yes,,2024-04-20
2024-04-22,Cheaper by the Dozen,2003,https://boxd.it/6jPOMv,2,,,2024-04-21
2024-05-10,Kingdom of the Planet of the Apes,2024,https://boxd.it/6rHdrh,3.5,,,2024-05-10
2024-06-01,Happy Death Day,2017,https://boxd.it/6AElL5,4,,,2024-06-01
2024-06-01,Happy Death Day 2U,2019,https://boxd.it/6AFiMr,3.5,,,2024-06-01
2024-06-15,The Holiday,2006,https://boxd.it/6G5a5h,4.5,Yes,,2024-06-15
2024-06-15,Madame Web,2024,https://boxd.it/6Gb6pf,1.5,,,2024-06-15
2024-06-28,Inside Out,2015,https://boxd.it/6LlcC5,4,Yes,,2024-06-20
2024-06-30,Inside Out 2,2024,https://boxd.it/6LLv3Z,5,,,2024-06-29
2024-07-16,Descendants: The Rise of Red,2024,https://boxd.it/6SPbb1,0.5,,,2024-07-15
2024-07-20,She's Out of My League,2010,https://boxd.it/6UVkK5,3,,,2024-07-20
2024-07-31,The Final Destination,2009,https://boxd.it/702aKN,1,,,2024-07-29
2024-07-31,Escape Room,2019,https://boxd.it/7029hv,,Yes,,2024-07-30
2024-07-31,Escape Room: Tournament of Champions,2021,https://boxd.it/7029R9,4.5,Yes,,2024-07-30
2024-08-02,Deadpool & Wolverine,2024,https://boxd.it/70LXTJ,3,,,2024-08-02
2024-08-04,Disturbia,2007,https://boxd.it/71iJrd,2.5,,,2024-08-03
2024-08-05,When a Stranger Calls,2006,https://boxd.it/72eDZz,3,,,2024-08-05
2024-08-25,Sydney White,2007,https://boxd.it/7b1ocn,3.5,Yes,,2024-08-25
2024-08-26,Incoming,2024,https://boxd.it/7bjnHZ,3,,,2024-08-25
2024-09-08,Beetlejuice,1988,https://boxd.it/7hGUI7,3,,,2024-09-08
2024-09-16,The Perfect Couple,2024,https://boxd.it/7l9lgR,3,,,2024-09-10
2024-09-12,Red Eye,2005,https://boxd.it/7j4NCj,3,,,2024-09-11
2024-09-14,Beetlejuice Beetlejuice,2024,https://boxd.it/7jQzDX,3.5,,,2024-09-13
2024-09-14,Uglies,2024,https://boxd.it/7keLur,1.5,,,2024-09-14
2024-10-02,How to Lose a Guy in 10 Days,2003,https://boxd.it/7sbm37,4.5,,,2024-10-01
2024-10-17,"I Love You, Man",2009,https://boxd.it/7zftiT,2.5,,,2024-10-16
2024-10-17,Isi & Ossi,2020,https://boxd.it/7zhj3j,2.5,,,2024-10-16
2024-10-21,Set It Up,2018,https://boxd.it/7BOAlj,5,Yes,,2024-10-21
2024-10-22,"Love, Guaranteed",2020,https://boxd.it/7CkwPN,1.5,,,2024-10-22
2024-11-03,Agatha All Along,2024,https://boxd.it/7I2xuJ,4,,,2024-11-02
2024-11-05,Time Cut,2024,https://boxd.it/7JJaUT,2,,,2024-11-05
2024-11-24,Wicked,2024,https://boxd.it/7T0S1X,4,,,2024-11-24
2024-12-01,Daddy's Home,2015,https://boxd.it/7W7ZTt,3,,,2024-11-29
2024-12-01,Daddy's Home 2,2017,https://boxd.it/7W80zz,2.5,,,2024-11-30
2024-12-04,Red One,2024,https://boxd.it/7XN8qr,4,,,2024-12-03
2024-12-05,What's Your Number?,2011,https://boxd.it/7YctFd,5,Yes,,2024-12-03
2024-12-05,Phineas and Ferb The Movie: Across the 2nd Dimension,2011,https://boxd.it/7YcuH5,4,,,2024-12-04
2024-12-16,Love Actually,2003,https://boxd.it/847SHx,4,,,2024-12-16
2024-12-18,Carry-On,2024,https://boxd.it/85k4tF,3,,,2024-12-17
2024-12-25,The Fall Guy,2024,https://boxd.it/89JfQ7,3.5,,,2024-12-25
2025-01-01,Scream VI,2023,https://boxd.it/8fkB07,4,Yes,,2024-12-27
2025-01-01,Cars,2006,https://boxd.it/8fkye1,5,Yes,,2024-12-31
2025-01-01,Mufasa: The Lion King,2024,https://boxd.it/8fZIAt,3,,,2025-01-01
2025-01-02,The Help,2011,https://boxd.it/8gQDDN,4,Yes,,2025-01-01
2025-01-04,Phineas and Ferb the Movie: Candace Against the Universe,2020,https://boxd.it/8iTV3d,4,,,2025-01-04
2025-01-23,Kingsman: The Secret Service,2014,https://boxd.it/8zIXTh,3.5,,,2025-01-21
2025-01-23,The Cheetah Girls,2003,https://boxd.it/8zIYvZ,3,,,2025-01-22
2025-03-06,My Fault: London,2025,https://boxd.it/92d91t,2.5,,,2025-03-03
2025-03-06,Bring It On,2000,https://boxd.it/92daXN,4,Yes,,2025-03-05
2025-03-06,Tag,2018,https://boxd.it/92dbsB,4,,,2025-03-05
2025-04-01,Adolescence,2025,https://boxd.it/9hPjN9,5,,,2025-03-16
2025-03-20,You're Cordially Invited,2025,https://boxd.it/9aTOmj,2.5,,,2025-03-19
2025-03-22,I Know What You Did Last Summer,1997,https://boxd.it/9bU9op,3,,,2025-03-21
2025-04-01,Pitch Perfect,2012,https://boxd.it/9hPspP,5,Yes,,2025-03-25
