Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-02-07,honourable mentions,,https://boxd.it/sQxts,not in any particular order — didn’t think extensively about this list so i might be wrong

Position,Name,Year,URL,Description
1,Bridge to Terabithia,2007,https://boxd.it/28YG,
2,Eternity,2025,https://boxd.it/LYtK,
3,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
4,F1,2025,https://boxd.it/yjVM,
5,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,
6,How to Train Your Dragon,2010,https://boxd.it/1WRy,
7,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,
8,Inception,2010,https://boxd.it/1skk,
9,Instant Family,2018,https://boxd.it/hHpQ,
10,Jumanji: Welcome to the Jungle,2017,https://boxd.it/bUeE,
11,The Princess Diaries 2: Royal Engagement,2004,https://boxd.it/1UyY,
12,She's the Man,2006,https://boxd.it/1Y7W,
13,Speed,1994,https://boxd.it/28qk,
14,Superman,2025,https://boxd.it/E9IU,
15,The Truman Show,1998,https://boxd.it/18U8,
16,What's Your Number?,2011,https://boxd.it/6P4,
17,When They See Us,2019,https://boxd.it/kbJU,
18,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
19,Escape Room: Tournament of Champions,2021,https://boxd.it/lwCM,
20,The Menu,2022,https://boxd.it/lScm,
21,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
22,Cars,2006,https://boxd.it/29ho,
23,Inside Out 2,2024,https://boxd.it/CFrC,
24,Zootopia 2,2025,https://boxd.it/F0vO,
25,Coraline,2009,https://boxd.it/1NhQ,
26,The Incredibles,2004,https://boxd.it/1XLm,
