Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-12-04,romcoms,,https://boxd.it/QsWpS,

Position,Name,Year,URL,Description
1,Big,1988,https://boxd.it/271S,
2,When Harry Met Sally...,1989,https://boxd.it/29W2,
3,Speed,1994,https://boxd.it/28qk,
4,10 Things I Hate About You,1999,https://boxd.it/23AO,
5,The Princess Diaries 2: Royal Engagement,2004,https://boxd.it/1UyY,
6,She's the Man,2006,https://boxd.it/1Y7W,
7,27 Dresses,2008,https://boxd.it/21x4,
8,The Proposal,2009,https://boxd.it/1HiS,
9,What's Your Number?,2011,https://boxd.it/6P4,
10,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,
11,Set It Up,2018,https://boxd.it/dpik,
12,Eternity,2025,https://boxd.it/LYtK,
13,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,
14,Crazy Rich Asians,2018,https://boxd.it/gfnK,
15,No Hard Feelings,2023,https://boxd.it/xouu,
16,Elemental,2023,https://boxd.it/ASiE,
17,EXmas,2023,https://boxd.it/JeKc,
18,Anyone But You,2023,https://boxd.it/EzA8,
