Date,Name,Year,Letterboxd URI,Rating
2023-09-29,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2023-09-29,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5
2023-09-29,Inception,2010,https://boxd.it/1skk,5
2023-09-29,Midsommar,2019,https://boxd.it/jhxe,3
2023-09-29,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,5
2023-09-29,The Menu,2022,https://boxd.it/lScm,4.5
2023-09-29,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,5
2023-09-29,Thor: Ragnarok,2017,https://boxd.it/8MHi,5
2023-09-29,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,4.5
2023-09-29,Top Gun: Maverick,2022,https://boxd.it/cjr4,5
2023-09-29,Elemental,2023,https://boxd.it/ASiE,4
2023-09-29,A Haunting in Venice,2023,https://boxd.it/zGdg,4.5
2023-09-29,Set It Up,2018,https://boxd.it/dpik,5
2023-09-29,Oppenheimer,2023,https://boxd.it/wUow,3.5
2023-09-29,Don't Look Up,2021,https://boxd.it/o0Hc,2
2023-09-29,You Are So Not Invited to My Bat Mitzvah,2023,https://boxd.it/BMeI,2
2023-09-29,Eternals,2021,https://boxd.it/j36o,2.5
2023-09-29,Black Widow,2021,https://boxd.it/hWV8,3.5
2023-09-29,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,3
2023-09-29,Jungle Cruise,2021,https://boxd.it/g4YK,3
2023-09-29,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,3.5
2023-09-29,Lightyear,2022,https://boxd.it/qV1G,1.5
2023-09-29,Elvis,2022,https://boxd.it/mK4w,0.5
2023-09-29,Thor: Love and Thunder,2022,https://boxd.it/mMAY,3
2023-09-29,Bullet Train,2022,https://boxd.it/qW26,4.5
2023-09-29,Avatar,2009,https://boxd.it/1Efm,4
2023-09-29,Black Panther: Wakanda Forever,2022,https://boxd.it/igPu,3
2023-09-29,Avatar: The Way of Water,2022,https://boxd.it/2E2E,4.5
2023-09-29,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/nL2y,3
2023-09-29,Scream VI,2023,https://boxd.it/zdfW,4
2023-09-29,Free Guy,2021,https://boxd.it/k8dm,4
2023-09-29,The Little Mermaid,2023,https://boxd.it/fVum,3.5
2023-09-29,Mona Lisa Smile,2003,https://boxd.it/1T0Q,3
2023-09-29,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,https://boxd.it/2ark,4
2023-09-29,Jurassic World,2015,https://boxd.it/4n0g,4.5
2023-09-29,Cinderella,1997,https://boxd.it/VNe,3
2023-09-29,The Princess Diaries 2: Royal Engagement,2004,https://boxd.it/1UyY,5
2023-09-29,Pitch Perfect,2012,https://boxd.it/3OsE,5
2023-09-29,No Hard Feelings,2023,https://boxd.it/xouu,3.5
2023-09-29,Not Another Teen Movie,2001,https://boxd.it/1TWq,4
2023-09-29,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,4.5
2023-09-29,John Tucker Must Die,2006,https://boxd.it/1Z2S,4
2023-09-29,She's the Man,2006,https://boxd.it/1Y7W,5
2023-09-29,How to Train Your Dragon,2010,https://boxd.it/1WRy,5
2023-09-29,Starstruck,2010,https://boxd.it/1cjq,3.5
2023-09-29,Rosaline,2022,https://boxd.it/v9Ue,3.5
2023-09-29,The Wonderful Story of Henry Sugar,2023,https://boxd.it/yNyo,4
2023-09-29,Jumanji: Welcome to the Jungle,2017,https://boxd.it/bUeE,5
2023-09-29,WandaVision,2021,https://boxd.it/sbGW,5
2023-09-30,Let It Shine,2012,https://boxd.it/3PLi,4
2023-10-22,Totally Killer,2023,https://boxd.it/AOpG,3.5
2023-10-23,Love at First Sight,2023,https://boxd.it/bUmS,4
2023-10-23,Bridget Jones's Diary,2001,https://boxd.it/29WQ,3.5
2023-10-25,Prom Pact,2023,https://boxd.it/z8X0,3
2023-10-27,The Other Zoey,2023,https://boxd.it/ynHY,2
2023-10-28,Five Nights at Freddy's,2023,https://boxd.it/ikHu,3
2023-10-28,Little Women,2019,https://boxd.it/aSVk,4.5
2023-11-04,Taylor Swift: The Eras Tour,2023,https://boxd.it/HTIi,5
2023-11-07,Holes,2003,https://boxd.it/20mE,4
2023-11-16,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,5
2023-11-16,The Hunger Games,2012,https://boxd.it/2uds,5
2023-11-19,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/pZCY,4
2023-11-27,Z-O-M-B-I-E-S,2018,https://boxd.it/hp12,3
2023-12-04,Taylor Swift: Reputation Stadium Tour,2018,https://boxd.it/kQ0w,5
2023-12-10,EXmas,2023,https://boxd.it/JeKc,3.5
2023-12-10,The Fast and the Furious,2001,https://boxd.it/1XMu,3
2023-12-17,Zootopia,2016,https://boxd.it/84xS,5
2023-12-24,Meet Cute,2022,https://boxd.it/vOri,3
2024-01-01,About Fate,2022,https://boxd.it/veJq,3
2024-01-14,50 First Dates,2004,https://boxd.it/285c,4
2024-01-14,Sleeping with Other People,2015,https://boxd.it/8WPm,3
2024-01-15,Something from Tiffany's,2022,https://boxd.it/yuRG,2.5
2024-01-23,27 Dresses,2008,https://boxd.it/21x4,4
2024-01-23,Blended,2014,https://boxd.it/6QQY,4
2024-01-23,Holidate,2020,https://boxd.it/mLcc,4
2024-01-23,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,4.5
2024-01-23,The Holiday,2006,https://boxd.it/28ye,4.5
2024-02-05,Anyone But You,2023,https://boxd.it/EzA8,3.5
2024-02-05,Bottoms,2023,https://boxd.it/uGf2,3
2024-02-07,What's Your Number?,2011,https://boxd.it/6P4,5
2024-02-07,Instant Family,2018,https://boxd.it/hHpQ,5
2024-02-07,The Princess Diaries,2001,https://boxd.it/1XCO,5
2024-02-07,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,5
2024-02-07,Escape Room: Tournament of Champions,2021,https://boxd.it/lwCM,4.5
2024-02-07,Another Cinderella Story,2008,https://boxd.it/1MHS,4
2024-02-07,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/hN1A,4
2024-02-07,The Chronicles of Narnia: Prince Caspian,2008,https://boxd.it/26Hy,3
2024-02-07,Speed,1994,https://boxd.it/28qk,5
2024-02-07,Top Gun,1986,https://boxd.it/29JC,3
2024-02-07,Legally Blonde,2001,https://boxd.it/1ZNa,4
2024-02-10,Blue Lagoon: The Awakening,2012,https://boxd.it/3QjY,1
2024-02-10,Upgraded,2024,https://boxd.it/ClSe,3.5
2024-02-13,Flipped,2010,https://boxd.it/Tb8,4
2024-02-14,Argylle,2024,https://boxd.it/w1kk,4
2024-02-20,Taylor Tomlinson: Have It All,2024,https://boxd.it/KDH0,4
