Date,Name,Year,Letterboxd URI
2023-09-29,Stand by Me,1986,https://boxd.it/2aOe
2023-09-29,Triangle of Sadness,2022,https://boxd.it/hXlq
2023-09-29,Kill Bill: Vol. 1,2003,https://boxd.it/70w
2023-10-19,Superbad,2007,https://boxd.it/20hO
2023-10-23,The Princess Bride,1987,https://boxd.it/26EY
2023-10-24,Clue,1985,https://boxd.it/1MDQ
2023-11-27,Back to the Future,1985,https://boxd.it/2b8e
2024-01-14,Past Lives,2023,https://boxd.it/oNB8
2024-01-16,Jojo Rabbit,2019,https://boxd.it/iEBG
2024-01-16,Hocus Pocus,1993,https://boxd.it/1Wgi
2024-01-16,May December,2023,https://boxd.it/vEE2
2024-01-16,Schindler's List,1993,https://boxd.it/2aq2
2024-01-16,Chungking Express,1994,https://boxd.it/1UDa
2024-01-16,The Silence of the Lambs,1991,https://boxd.it/2aHW
2024-01-16,Catch Me If You Can,2002,https://boxd.it/29VS
2024-01-16,Thelma & Louise,1991,https://boxd.it/28Ew
2024-01-16,The Lego Movie,2014,https://boxd.it/4pDO
2024-01-24,Poor Things,2023,https://boxd.it/tNWU
2024-02-07,Chip 'n Dale: Rescue Rangers,2022,https://boxd.it/eSk2
2024-02-07,Letters to Juliet,2010,https://boxd.it/19aK
2024-03-15,Princess Mononoke,1997,https://boxd.it/2b4w
2024-03-15,Howl's Moving Castle,2004,https://boxd.it/23De
2024-03-15,Anatomy of a Fall,2023,https://boxd.it/yuDE
2024-03-15,Grave of the Fireflies,1988,https://boxd.it/1RUM
2024-03-15,Marley & Me,2008,https://boxd.it/1Ola
2024-03-17,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O
2024-03-17,Perfect Blue,1997,https://boxd.it/1W7A
2024-09-16,Zoey 101: Spring Break-Up,2006,https://boxd.it/lOVW
2025-04-01,Anora,2024,https://boxd.it/Egcw
2025-09-09,The Naked Gun,2025,https://boxd.it/Da9k
2025-09-13,Little Miss Sunshine,2006,https://boxd.it/29EW
2025-12-09,Five Nights at Freddy's 2,2025,https://boxd.it/KEvY
